start, stop
Tue Sep 15 11:42:26 2015,Tue Sep 15 11:42:31 2015
Tue Sep 15 11:42:31 2015,Tue Sep 15 11:42:35 2015
Tue Sep 15 11:42:35 2015,Tue Sep 15 11:42:39 2015
Tue Sep 15 11:42:39 2015,Tue Sep 15 11:42:46 2015
Tue Sep 15 11:42:46 2015,Tue Sep 15 11:42:51 2015
Tue Sep 15 11:42:51 2015,Tue Sep 15 11:42:58 2015
Tue Sep 15 11:42:58 2015,Tue Sep 15 11:43:03 2015
Tue Sep 15 11:43:03 2015,Tue Sep 15 11:43:08 2015
Tue Sep 15 11:43:08 2015,Tue Sep 15 11:43:15 2015
Tue Sep 15 11:43:15 2015,Tue Sep 15 11:43:19 2015
Tue Sep 15 11:43:19 2015,Tue Sep 15 11:43:23 2015
Tue Sep 15 11:43:23 2015,Tue Sep 15 11:43:30 2015
Tue Sep 15 11:43:30 2015,Tue Sep 15 11:43:37 2015
Tue Sep 15 11:43:37 2015,Tue Sep 15 11:43:42 2015
Tue Sep 15 11:43:42 2015,Tue Sep 15 11:43:49 2015
Tue Sep 15 11:43:49 2015,Tue Sep 15 11:43:53 2015
Tue Sep 15 11:43:53 2015,Tue Sep 15 11:43:58 2015
Tue Sep 15 11:43:58 2015,Tue Sep 15 11:44:05 2015
Tue Sep 15 11:44:05 2015,Tue Sep 15 11:44:09 2015
Tue Sep 15 11:44:09 2015,Tue Sep 15 11:44:16 2015
Tue Sep 15 11:44:16 2015,Tue Sep 15 11:44:21 2015
Tue Sep 15 11:44:21 2015,Tue Sep 15 11:44:25 2015
Tue Sep 15 11:44:25 2015,Tue Sep 15 11:44:32 2015
Tue Sep 15 11:44:32 2015,Tue Sep 15 11:44:36 2015
Tue Sep 15 11:44:36 2015,Tue Sep 15 11:44:41 2015
Tue Sep 15 11:44:41 2015,Tue Sep 15 11:44:46 2015
Tue Sep 15 11:44:46 2015,Tue Sep 15 11:44:53 2015
Tue Sep 15 11:44:53 2015,Tue Sep 15 11:44:58 2015
Tue Sep 15 11:44:58 2015,Tue Sep 15 11:45:05 2015
Tue Sep 15 11:45:05 2015,Tue Sep 15 11:45:09 2015
Tue Sep 15 11:45:09 2015,Tue Sep 15 11:45:13 2015
Tue Sep 15 11:45:13 2015,Tue Sep 15 11:45:21 2015
Tue Sep 15 11:45:21 2015,Tue Sep 15 11:45:25 2015
Tue Sep 15 11:45:25 2015,Tue Sep 15 11:45:30 2015
Tue Sep 15 11:45:30 2015,Tue Sep 15 11:45:36 2015
Tue Sep 15 11:45:36 2015,Tue Sep 15 11:45:44 2015
Tue Sep 15 11:45:44 2015,Tue Sep 15 11:45:51 2015
Tue Sep 15 11:45:51 2015,Tue Sep 15 11:45:55 2015
Tue Sep 15 11:46:57 2015,Tue Sep 15 11:47:05 2015
Tue Sep 15 11:47:27 2015,Tue Sep 15 11:47:38 2015
Tue Sep 15 11:47:57 2015,Tue Sep 15 11:48:07 2015
Tue Sep 15 11:48:27 2015,Tue Sep 15 11:48:36 2015
Tue Sep 15 11:48:57 2015,Tue Sep 15 11:49:05 2015
Tue Sep 15 11:49:27 2015,Tue Sep 15 11:49:34 2015
Tue Sep 15 11:49:57 2015,Tue Sep 15 11:50:04 2015
Tue Sep 15 11:50:27 2015,Tue Sep 15 11:50:34 2015
Tue Sep 15 11:50:57 2015,Tue Sep 15 11:51:04 2015
Tue Sep 15 11:51:27 2015,Tue Sep 15 11:51:35 2015
Tue Sep 15 11:51:57 2015,Tue Sep 15 11:52:05 2015
Tue Sep 15 11:52:27 2015,Tue Sep 15 11:52:34 2015
Tue Sep 15 11:52:57 2015,Tue Sep 15 11:53:05 2015
Tue Sep 15 11:53:27 2015,Tue Sep 15 11:53:37 2015
Tue Sep 15 11:53:57 2015,Tue Sep 15 11:54:05 2015
Tue Sep 15 11:54:27 2015,Tue Sep 15 11:54:35 2015
Tue Sep 15 11:54:57 2015,Tue Sep 15 11:55:06 2015
Tue Sep 15 11:55:27 2015,Tue Sep 15 11:55:34 2015
Tue Sep 15 11:55:57 2015,Tue Sep 15 11:56:05 2015
Tue Sep 15 11:56:27 2015,Tue Sep 15 11:56:34 2015
Tue Sep 15 11:56:57 2015,Tue Sep 15 11:57:04 2015
Tue Sep 15 11:57:27 2015,Tue Sep 15 11:57:35 2015
Tue Sep 15 11:57:57 2015,Tue Sep 15 11:58:07 2015
Tue Sep 15 11:58:27 2015,Tue Sep 15 11:58:36 2015
Tue Sep 15 11:58:57 2015,Tue Sep 15 11:59:05 2015
Tue Sep 15 11:59:27 2015,Tue Sep 15 11:59:35 2015
Tue Sep 15 11:59:57 2015,Tue Sep 15 12:00:05 2015
Tue Sep 15 12:00:27 2015,Tue Sep 15 12:00:34 2015
Tue Sep 15 12:00:57 2015,Tue Sep 15 12:01:06 2015
Tue Sep 15 12:01:27 2015,Tue Sep 15 12:01:40 2015
Tue Sep 15 12:01:57 2015,Tue Sep 15 12:02:05 2015
Tue Sep 15 12:02:27 2015,Tue Sep 15 12:02:35 2015
Tue Sep 15 12:02:57 2015,Tue Sep 15 12:03:05 2015
Tue Sep 15 12:03:27 2015,Tue Sep 15 12:03:35 2015
Tue Sep 15 12:03:57 2015,Tue Sep 15 12:04:08 2015
Tue Sep 15 12:04:27 2015,Tue Sep 15 12:04:34 2015
Tue Sep 15 12:04:57 2015,Tue Sep 15 12:05:08 2015
Tue Sep 15 12:05:27 2015,Tue Sep 15 12:05:44 2015
Tue Sep 15 12:05:57 2015,Tue Sep 15 12:06:05 2015
Tue Sep 15 12:06:27 2015,Tue Sep 15 12:06:35 2015
Tue Sep 15 12:06:57 2015,Tue Sep 15 12:07:09 2015
Tue Sep 15 12:07:27 2015,Tue Sep 15 12:07:34 2015
Tue Sep 15 12:07:57 2015,Tue Sep 15 12:08:08 2015
Tue Sep 15 12:08:27 2015,Tue Sep 15 12:08:35 2015
Tue Sep 15 12:08:57 2015,Tue Sep 15 12:09:05 2015
Tue Sep 15 12:09:27 2015,Tue Sep 15 12:09:35 2015
Tue Sep 15 12:09:57 2015,Tue Sep 15 12:10:04 2015
Tue Sep 15 12:10:27 2015,Tue Sep 15 12:10:34 2015
Tue Sep 15 12:10:57 2015,Tue Sep 15 12:11:05 2015
Tue Sep 15 12:11:27 2015,Tue Sep 15 12:11:35 2015
Tue Sep 15 12:11:57 2015,Tue Sep 15 12:12:04 2015
Tue Sep 15 12:12:27 2015,Tue Sep 15 12:12:34 2015
Tue Sep 15 12:12:57 2015,Tue Sep 15 12:13:04 2015
Tue Sep 15 12:13:27 2015,Tue Sep 15 12:13:35 2015
Tue Sep 15 12:13:57 2015,Tue Sep 15 12:14:05 2015
Tue Sep 15 12:14:27 2015,Tue Sep 15 12:14:34 2015
Tue Sep 15 12:14:57 2015,Tue Sep 15 12:15:04 2015
Tue Sep 15 12:15:27 2015,Tue Sep 15 12:15:37 2015
Tue Sep 15 12:15:57 2015,Tue Sep 15 12:16:04 2015
Tue Sep 15 12:16:27 2015,Tue Sep 15 12:16:35 2015
Tue Sep 15 12:16:57 2015,Tue Sep 15 12:17:04 2015
Tue Sep 15 12:17:27 2015,Tue Sep 15 12:17:36 2015
Tue Sep 15 12:17:57 2015,Tue Sep 15 12:18:05 2015
Tue Sep 15 12:18:27 2015,Tue Sep 15 12:18:35 2015
Tue Sep 15 12:18:57 2015,Tue Sep 15 12:19:04 2015
Tue Sep 15 12:19:27 2015,Tue Sep 15 12:19:35 2015
Tue Sep 15 12:19:57 2015,Tue Sep 15 12:20:08 2015
Tue Sep 15 12:20:27 2015,Tue Sep 15 12:20:35 2015
Tue Sep 15 12:20:57 2015,Tue Sep 15 12:21:05 2015
Tue Sep 15 12:21:27 2015,Tue Sep 15 12:21:35 2015
Tue Sep 15 12:21:57 2015,Tue Sep 15 12:22:05 2015
Tue Sep 15 12:22:27 2015,Tue Sep 15 12:22:36 2015
Tue Sep 15 12:22:57 2015,Tue Sep 15 12:23:05 2015
Tue Sep 15 12:23:27 2015,Tue Sep 15 12:23:35 2015
Tue Sep 15 12:23:57 2015,Tue Sep 15 12:24:05 2015
Tue Sep 15 12:24:27 2015,Tue Sep 15 12:24:34 2015
Tue Sep 15 12:24:57 2015,Tue Sep 15 12:25:05 2015
Tue Sep 15 12:25:27 2015,Tue Sep 15 12:25:35 2015
Tue Sep 15 12:25:57 2015,Tue Sep 15 12:26:06 2015
Tue Sep 15 12:26:27 2015,Tue Sep 15 12:26:35 2015
Tue Sep 15 12:26:57 2015,Tue Sep 15 12:27:05 2015
Tue Sep 15 12:27:27 2015,Tue Sep 15 12:27:34 2015
Tue Sep 15 12:27:57 2015,Tue Sep 15 12:28:08 2015
Tue Sep 15 12:28:27 2015,Tue Sep 15 12:28:36 2015
Tue Sep 15 12:28:57 2015,Tue Sep 15 12:29:05 2015
Tue Sep 15 12:29:27 2015,Tue Sep 15 12:29:38 2015
Tue Sep 15 12:29:57 2015,Tue Sep 15 12:30:04 2015
Tue Sep 15 12:30:27 2015,Tue Sep 15 12:30:34 2015
Tue Sep 15 12:30:57 2015,Tue Sep 15 12:31:08 2015
Tue Sep 15 12:31:27 2015,Tue Sep 15 12:31:34 2015
Tue Sep 15 12:31:57 2015,Tue Sep 15 12:32:05 2015
Tue Sep 15 12:32:27 2015,Tue Sep 15 12:32:36 2015
Tue Sep 15 12:32:57 2015,Tue Sep 15 12:33:04 2015
Tue Sep 15 12:33:27 2015,Tue Sep 15 12:33:37 2015
Tue Sep 15 12:33:57 2015,Tue Sep 15 12:34:06 2015
Tue Sep 15 12:34:27 2015,Tue Sep 15 12:34:35 2015
Tue Sep 15 12:34:57 2015,Tue Sep 15 12:35:05 2015
Tue Sep 15 12:35:27 2015,Tue Sep 15 12:35:34 2015
Tue Sep 15 12:35:57 2015,Tue Sep 15 12:36:05 2015
Tue Sep 15 12:36:27 2015,Tue Sep 15 12:36:34 2015
Tue Sep 15 12:36:57 2015,Tue Sep 15 12:37:04 2015
Tue Sep 15 12:37:27 2015,Tue Sep 15 12:37:35 2015
Tue Sep 15 12:37:57 2015,Tue Sep 15 12:38:06 2015
Tue Sep 15 12:38:27 2015,Tue Sep 15 12:38:34 2015
Tue Sep 15 12:38:57 2015,Tue Sep 15 12:39:05 2015
Tue Sep 15 12:39:27 2015,Tue Sep 15 12:39:34 2015
Tue Sep 15 12:39:57 2015,Tue Sep 15 12:40:13 2015
Tue Sep 15 12:40:27 2015,Tue Sep 15 12:40:42 2015
Tue Sep 15 12:40:57 2015,Tue Sep 15 12:41:05 2015
Tue Sep 15 12:41:27 2015,Tue Sep 15 12:41:34 2015
Tue Sep 15 12:41:57 2015,Tue Sep 15 12:42:05 2015
Tue Sep 15 12:42:27 2015,Tue Sep 15 12:48:29 2015
